id:ID,name,简称,变速箱类型
1469,变速箱,,自动变速箱(AT)
1470,变速箱,,固定齿比变速箱
1471,变速箱,,手动变速箱(MT)
1472,变速箱,8挡手自一体,
1473,变速箱,,自动变速箱(AT)
1474,变速箱,,手动变速箱(MT)
1475,变速箱,,机械式自动变速箱(AMT)
1476,变速箱,,手动变速箱(MT)
1477,变速箱,8挡手自一体,
1478,变速箱,6挡手动,
1479,变速箱,6挡手自一体,
1480,变速箱,,手动变速箱(MT)
1481,变速箱,,自动变速箱(AT)
1482,变速箱,,固定齿比变速箱
1483,变速箱,8挡手自一体,
1484,变速箱,,自动变速箱(AT)
1485,变速箱,,自动变速箱(AT)
1486,变速箱,,手动变速箱(MT)
1487,变速箱,,自动变速箱(AT)
1488,变速箱,6挡手动,
1489,变速箱,,自动变速箱(AT)
1490,变速箱,,手动变速箱(MT)
1491,变速箱,,手动变速箱(MT)
1492,变速箱,6挡手动,
1493,变速箱,,手动变速箱(MT)
1494,变速箱,7挡双离合,
1495,变速箱,,手动变速箱(MT)
1496,变速箱,7挡双离合,
1497,变速箱,,手动变速箱(MT)
1498,变速箱,,
1499,变速箱,,自动变速箱(AT)
1500,变速箱,,手动变速箱(MT)
1501,变速箱,AMT（组合10挡）,
1502,变速箱,6挡手动,
1503,变速箱,8挡手自一体,
1504,变速箱,,手动变速箱(MT)
1505,变速箱,,自动变速箱(AT)
1506,变速箱,,手动变速箱(MT)
1507,变速箱,电动车单速变速箱,
1508,变速箱,7挡双离合,
1509,变速箱,电动车单速变速箱,
1510,变速箱,,
1511,变速箱,,自动变速箱(AT)
1512,变速箱,,手动变速箱(MT)
1513,变速箱,,
1514,变速箱,,手动变速箱(MT)
1515,变速箱,,固定齿比变速箱
1516,变速箱,,手动变速箱(MT)
1517,变速箱,,
1518,变速箱,,手动变速箱(MT)
1519,变速箱,,手动变速箱(MT)
1520,变速箱,,自动变速箱(AT)
1521,变速箱,7挡双离合,
1522,变速箱,,机械式自动变速箱(AMT)
1523,变速箱,,固定齿比变速箱
1524,变速箱,8挡手自一体,
1525,变速箱,,手动变速箱(MT)
1526,变速箱,,自动变速箱(AT)
1527,变速箱,,自动变速箱(AT)
1528,变速箱,,自动变速箱(AT)
1529,变速箱,,自动变速箱(AT)
1530,变速箱,,机械式自动变速箱(AMT)
