id:ID,name,高度(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),整备质量(kg),车身结构,车门数(个),座位数(个),后排车门开启方式,油箱容积(L),货箱尺寸(mm)
987,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
988,车身,2525.0,3760.0,1734,1756,180,2340,货车,5.0,3,侧滑门,-,-
989,车身,2552.0,3850.0,-,-,-,-,客车,4.0,14/15,-,80,-
990,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,6,,75,
991,车身,1845.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
992,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
993,车身,2555.0,3000.0,-,-,-,-,货车,5.0,3,侧滑门,80,-
994,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
995,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
996,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
997,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
998,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
999,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1000,车身,2525.0,3366.0,1734,1756,180,2460,货车,5.0,3,侧滑门,-,-
1001,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1002,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1003,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1004,车身,2345.0,3850.0,-,-,-,-,客车,4.0,14,-,80,-
1005,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1006,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,9,,-,
1007,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1008,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1009,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1010,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1011,车身,2345.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1012,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1013,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1014,车身,1778.0,2800.0,-,-,-,-,MPV,5.0,7,,50,
1015,车身,2345.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1016,车身,,,,,,,,,,,,
1017,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1018,车身,2345.0,3850.0,-,-,-,-,客车,4.0,9,-,80,-
1019,车身,1736.0,2760.0,1570,1580,160,-,SUV,5.0,5,,-,
1020,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1021,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1022,车身,2345.0,3850.0,-,-,-,-,客车,5.0,9,-,80,-
1023,车身,1845.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
