id:ID,name
23,2019款 2.0T柴油自动四驱精英型长厢高底盘
24,2020款 纯电动厢式运输车加长轴高顶标准版
25,2021款 2.0T PLUS 手动商旅版长轴高顶14/15座
26,2020款 2.0T 柴油四驱阿拉善版
27,2020款 2.0T汽油自动四驱旗舰型标厢高底盘
28,2020款 2.0T汽油手动四驱澳洲版标厢高底盘
29,2019款 2.0T AMT VAN前驱单胎短轴高顶3座
30,2020款 2.0T柴油手动四驱纪念版标厢高底盘
31,2021款 PLUS 2.0T 柴油自动豪华行政版
32,2019款 2.0T 手动四驱 海王星 国V
33,2019款 2.0T 自动四驱 天狼星 国V
34,2017款 2.8T柴油手动四驱高底盘舒享型标厢国V
35,2017款 2.8T柴油自动两驱高底盘舒适型标厢国V
36,2020款 纯电动厢式运输车长轴高顶长续航版
37,2021款 PLUS 2.0T 汽油自动智尊版
38,2020款 2.0T柴油自动四驱舒适版标厢高底盘
39,2017款 2.8T柴油自动四驱高底盘豪华型标厢国V
40,2019款 2.5T经典款6挡手动商旅长轴中顶14座无移门
41,2017款 2.8T柴油自动四驱高底盘精英型长厢国V
42,2021款 2.0T 手动精英版 汽油 9座
43,2017款 2.8T柴油自动四驱高底盘舒适型长厢国V
44,2017款 2.8T柴油手动两驱高底盘豪华型长厢国V
45,2020款 2.0T柴油手动两驱舒适版长厢高底盘
46,2017款 2.0T 手动两驱 火星
47,2019款 2.5T经典款6挡手动傲运通长轴中顶10座
48,2019款 1.5T 自动智享版 7座
49,2017款 2.4L汽油手动两驱高底盘精英型标厢
50,2021款 1.5T 自动尊享版
51,2021款 2.0T PLUS 手动傲运通长轴中顶10座
52,2019款 2.0T Plus AMT傲运通长轴高顶10座
53,2020款 2.0T柴油自动四驱高底盘先锋版长厢国VI
54,2021款 2.0T PLUS 手动商旅版长轴中顶9座
55,2020款 1.3T PLUG IN LITE
56,2021款 2.0T 手动精英版 汽油 7座
57,2021款 PLUS 2.0T 汽油自动豪华行政版
58,2019款 2.5T经典款AMT商旅长轴中顶9座
59,2020款 2.0T柴油自动四驱澳洲版长厢高底盘
60,2021款 2.0T PLUS 手动城市版短轴超低顶5/6座
61,2020款 大电量豪华版 五座
62,2019款 1.5T 自动潮享版 6座
63,2020款 EXTRA 510
64,2020款 2.0T 汽油自动尊享行政版
65,2017款 2.8T柴油自动两驱高底盘精英型长厢国V
66,2021款 2.0T PLUS 手动傲运通短轴中顶10座
67,2019款 2.0T Plus AMT厢式货车VAN短轴超低顶2/3座
68,2017款 2.0T汽油手动两驱高底盘精英型标厢
69,2019款 城市物流车智联版短轴盟固利35kWh
70,2020款 2.0T柴油手动两驱纪念版标厢高底盘
71,2020款 2.0T 汽油自动臻选版
72,2019款 2.5T经典款AMT商旅长轴中顶14/15座
73,2017款 2.0T汽油手动两驱高底盘精英型长厢
74,2020款 2.0T汽油自动两驱精英型标厢高底盘
75,2019款 1.5T 自动潮享版 5座
76,2021款 2.0T PLUS AMT傲运通长轴中顶6/7/8/9座
77,2019款 城市物流车智联版短轴上汽时代35kWh
78,2020款 2.0T 柴油两驱畅享版
79,2017款 2.8T柴油手动两驱高底盘豪华型标厢国V
80,2019款 2.0T 自动VAN后驱双胎加长轴超高顶3座
81,2017款 2.0T汽油自动两驱高底盘精英型标厢
82,2020款 2.0T汽油自动两驱精英型长厢高底盘
83,2019款 2.0T 自动VAN后驱双胎加长轴高顶3座
84,2019款 2.0T AMT智多星前驱单胎短轴中顶6座
85,2020款 2.0T 手动PLUS城市版短轴超低顶5/6座
86,2019款 1.5T 自动悦享版 7座
87,2019款 2.0T 自动智达后驱双胎加长轴超高顶15座
88,2019款 2.5T经典款6挡手动商旅加长轴中顶17座无移门
89,2020款 2.0T 汽油自动豪华版
90,2021款 生活家V90
91,2019款 2.0T柴油手动四驱舒享型标厢高底盘
92,2019款 1.5T 自动悦享版 6座
93,2020款 2.0T柴油手动四驱高底盘先锋版长厢国VI
94,2019款 1.3T 手动乐享版 6座
95,2019款 2.0T 自动智多星后驱单胎加长轴高顶7座
96,2020款 大电量豪华版 七座
97,2019款 1.5T 自动智享版 6座
98,2019款 RV80 B型房车长轴
99,2019款 2.0T 手动智达后驱单胎长轴高顶9座
