id:ID,name
23,2019款 城市物流车智联版长轴上汽时代52.5kWh
24,2020款 2.0T 手动PLUS城市版短轴超低顶5/6座
25,2017款 2.8T柴油自动两驱高底盘舒享型长厢国V
26,2020款 2.0T汽油手动两驱澳洲版长厢高底盘
27,2017款 2.0T 自动四驱 天狼星
28,2021款 2.0T 手动精英版 柴油 8座
29,2021款 2.0T PLUS AMT厢式货车VAN短轴中顶3座
30,2017款 2.8T柴油自动两驱高底盘精英型标厢国V
31,2020款 2.0T 汽油自动旗舰版
32,2021款 2.0T PLUS AMT商旅版加长轴高顶17/18座
33,2020款 大电量旗舰版 七座
34,2019款 2.0T Plus 6挡手动厢式货车VAN短轴超低顶2/3座
35,2020款 2.0T柴油自动四驱纪念版标厢高底盘
36,2020款 2.0T汽油自动两驱豪华型标厢高底盘
37,2019款 2.8T柴油自动两驱高底盘先锋版长厢国V
38,2017款 2.8T柴油自动四驱高底盘舒适型标厢国V
39,2021款 2.4L汽油手动两驱精英版长厢高底盘
40,2017款 2.4L汽油手动两驱低底盘舒享型标厢
41,2019款 2.8T柴油手动两驱高底盘先锋版标厢国V
42,2021款 2.0T PLUS 手动厢式货车VAN短轴中顶3座
43,2021款 2.0T PLUS AMT傲运通长轴中顶10座
44,2019款 2.0T Plus 6挡手动商旅版长轴中顶14/15座
45,2019款 2.0T柴油自动四驱舒享型标厢高底盘
46,2017款 2.8T柴油自动四驱高底盘舒适型长厢国V
47,2019款 1.5T 自动极客全配版 7座
48,2019款 2.0T Plus AMT商旅版短轴中顶11/12座
49,2020款 2.0T 汽油四驱豪华版
50,2020款 2.0T汽油手动两驱舒享型标厢高底盘
51,2019款 EV80纯电动城市物流车VAN长轴中顶2-3座71kWh
52,2021款 2.0T PLUS 手动商旅版长轴中顶14/15座
53,2017款 2.0T汽油自动四驱高底盘旗舰型长厢
54,2020款 大电量舒适版 七座
55,2013款 2.3L君享版长轴
56,2020款 2.0T柴油自动四驱纪念版长厢高底盘
57,2020款 改款 经典版 七座
58,2019款 2.5T经典款6挡手动商旅长轴高顶14/15座
59,2019款 RV80 C型灵动款
60,2021款 2.0T PLUS AMT城市版短轴超低顶7/8/9座
61,2020款 2.0T 柴油自动优选版
62,2020款 2.0T 汽油自动豪华行政版
63,2017款 2.8T柴油手动两驱低底盘舒适型长厢国V
64,2021款 2.0T PLUS 手动傲运通长轴中顶10座
65,2019款 2.0T Plus 6挡手动傲运通长轴高顶7座
66,2019款 2.0T柴油自动四驱豪华型长厢高底盘
67,2021款 2.0T PLUS AMT厢式货车VAN长轴中顶3座
68,2019款 2.0T 手动智多星后驱单胎加长轴高顶7座
69,2019款 2.0T Plus 6挡手动傲运通长轴高顶10座
70,2017款 2.8T柴油手动四驱高底盘精英型标厢国V
71,2017款 2.8T柴油手动四驱高底盘豪华型长厢国V
72,2013款 2.3L君享版短轴
73,2021款 PLUS 2.0T 柴油自动行政版
74,2019款 城市物流车智运版短轴上汽时代35kWh
75,2019款 2.5T经典款AMT商旅长轴中顶9座
76,2020款 纯电动厢式运输车加长轴高顶长续航版
77,2019款 2.0T柴油手动两驱舒享型长厢高底盘
78,2020款 2.0T 柴油两驱畅享版
79,2019款 2.0T Plus AMT傲运通长轴中顶10座
80,2017款 2.8T柴油自动两驱高底盘舒适型标厢国V
81,2019款 2.0T柴油自动四驱精英型标厢高底盘
82,2021款 2.0T PLUS AMT商旅版短轴中顶11/12座
83,2019款 2.5T经典款6挡手动傲运通长轴中顶10座
84,2020款 LITE 510
85,2019款 2.0T 自动智达后驱单胎长轴高顶12座
86,2019款 2.0T 手动智达后驱双胎加长轴超高顶15座
87,2019款 1.5T 自动潮享版 6座
88,2020款 2.5T AMT经典城配王短轴中顶2/3座
89,2021款 2.0T PLUS 手动厢式货车VAN短轴超低顶3座
90,2019款 1.5T 自动潮享版 5座
91,2019款 2.0T 自动VAN后驱单胎长轴高顶3座
92,2017款 2.0T汽油自动两驱高底盘精英型标厢
93,2019款 2.0T 手动四驱 海王星 国V
94,2019款 2.5T经典款AMT商旅长轴中顶14/15座
95,2021款 2.0T PLUS 手动商旅版短轴中顶9座
96,2019款 2.5T经典款AMT傲运通长轴中顶10座
97,2019款 2.5T经典款AMT商旅加长轴高顶17-18座
98,2021款 1.5T 自动极客全配版
99,2021款 1.5T 自动精英版
100,2019款 2.0T 手动智达后驱双胎加长轴高顶15座
101,2017款 2.0T汽油手动两驱高底盘精英型标厢
102,2020款 1.3T PLUG IN MATE
103,2019款 2.5T经典款AMT厢式货车VAN长轴中顶2/3座
